individual,probe,eye,peak_1_um,peak_2_um,maximum_sharpness,notes
191_22,lens3_191,LE2,NA,340,3.752276,Can't make out first peak
191_22,lens3_191,RE1,370,420,2.422133,Edge sharpness higher for first peak
191_22,lens3_191,RE2,330,385,2.798567,Three peaks. Very weird. Verified against image series to choose the best focused images; edge sharpness higher for first peak
191_23,lens3_191,LE1,355,465,2.5565,Three peaks. Very weird. Verified against image series to choose the best focused images; edge sharpness higher for first peak
191_23,lens3_191,LE2,290,365,3.9601,
191_23,lens3_191,RE1,370,435,2.9185,
191_23,lens3_191,RE2,NA,395,3.200133,Can't make out first peak
249_8,lens3_249,LE1,440,510,2.527833,
249_8,lens3_249,LE2,335,410,2.796067,
249_8,lens3_249,RE1,430,475,2.111867,Slightly unsure of first peak
249_8,lens3_249,RE2,340,400,2.471233,
249_9,lens3_249,LE1,400,455,1.681,Edge sharpness higher for first peak
249_9,lens3_249,LE2,395,445,2.5333,Three peaks. Very weird. Verified against image series to choose the best focused images; edge sharpness higher for first peak
249_9,lens3_249,RE1,340,455,3.002533,
249_9,lens3_249,RE2,325,380,3.801733,Edge sharpness higher for first peak
249_10,lens3_249,LE1,395,455,2.102567,Difficult to make out peaks
249_10,lens3_249,LE2,325,395,3.2181,
249_10,lens3_249,RE1,390,450,2.649067,
249_10,lens3_249,RE2,290,380,2.994033,
249_11,lens3_249,LE1,385,455,2.228633,Three peaks. Very weird. Verified against image series to choose the best focused images
249_11,lens3_249,LE2,NA,405,3.1421,Can't make out first peak
249_11,lens3_249,RE1,NA,475,2.082133,Can't make out first peak
249_11,lens3_249,RE2,NA,370,3.823033,Can't make out first peak
249_12,lens3_249,LE1,315,385,2.8498,
249_12,lens3_249,LE2,305,380,2.905333,
249_12,lens3_249,RE1,385,455,2.191833,
249_12,lens3_249,RE2,340,405,2.836633,
249_13,lens3_249,LE1,405,445,2.237967,Peaks hard to make out; edge sharpness higher for first peak
249_13,lens3_249,LE2,NA,NA,2.435533,Can't make out peaks at all
249_13,lens3_249,RE1,345,410,2.6866,
249_13,lens3_249,RE2,335,385,3.0654,
249_14,lens3_249,RE1,NA,415,2.410967,Can't make out first peak
249_14,lens3_249,RE2,NA,390,2.945433,Can't make out first peak
249_15,lens3_249,LE1,340,410,2.524233,
249_15,lens3_249,LE2,310,400,2.418367,Edge sharpness higher for first peak
249_15,lens3_249,RE1,325,395,2.3818,
249_15,lens3_249,RE2,NA,310,3.824833,No trace of first peak
249_16,lens3_249,LE1,NA,375,2.134533,No trace of first peak
249_16,lens3_249,LE2,220,295,2.5196,
249_16,lens3_249,RE1,NA,495,1.795267,No trace of first peak
249_16,lens3_249,RE2,NA,420,2.1837,No trace of first peak
249_17,lens3_249,LE1,NA,NA,2.0227,Can't make out peaks at all
249_17,lens3_249,LE2,400,480,2.425233,Very unsure of first peak
249_17,lens3_249,RE1,NA,NA,2.0846,Can't make out peaks at all
249_17,lens3_249,RE2,335,425,2.392633,Difficult to make out peaks
249_18,lens3_249,LE1,370,425,2.348233,
249_18,lens3_249,LE2,315,370,2.632767,
249_18,lens3_249,RE1,NA,465,2.773767,No trace of first peak
249_18,lens3_249,RE2,325,415,2.438867,Three peaks. Very weird. Verified against image series to choose the best focused images; edge sharpness higher for first peak
